s#,date,islamic date,blast day type,holiday type,time,city,latitude,longitude,province,location,location category,location sensitivity,open/closed space,influencing event/event,target type,targeted sect if any,killed min,killed max,injured min,injured max,no. of suicide blasts,explosive weight (max),hospital names,temperature(c),temperature(f)
22,2006-06-02,6 Jumaada al-awal 1427 A.H,Working Day,,,Bannu,32.9861,70.6042,KPK,Bakkahel Area of FR Bannu,Mobile,High,open,Army convoy,Military,,6.0,7.0,7.0,8.0,1.0,,1. Combined Military 2. Hospital Peshawar,26.125,79.025
23,2006-06-26,30 Jumaada al-awal 1427 A.H,Working Day,,15:30:00,North Waziristan,32.9746,70.1456,Fata,"Aisha Checkpoint-10km East of 
Miranshah",Military,High,open,,Military,,6.0,7.0,,26.0,1.0,,,28.61,83.498
24,2006-08-06,12 Rajab 1427 A.H,Holiday,Weekend,,Lasbela,25.8377,66.5224,Baluchistan,"Zehri Street-Main Market
Hub",Market,Low,open,,Civilian,,,1.0,,0.0,1.0,,,27.5,81.5
25,2006-11-08,17 SHawwal 1427 A.H,Working Day,,,Malakand,34.503,71.9046,KPK,Dargai Military Base-100km north of Peshawar,Military,High,open,Recruits parade,Military,,40.0,42.0,20.0,39.0,1.0,,"1. CMH Mardan
2. CMH Peshawar",19.205,66.569
26,2006-11-17,26 SHawwal 1427 A.H.,Working Day,,,Peshawar,34.0043,71.5448,KPK,"Fayaz Khalil Shaheed
Chowk",Mobile,High,open,police van,Police,,,1.0,,2.0,1.0,,,17.275,63.095
27,2006-12-03,12 Thw al-Qi`dah 1427 A.H.,Holiday,Weekend,,Bannu,32.9861,70.6042,KPK,Speen Tangi-kohat bannu road,Police,High,open,,Police,,,1.0,,1.0,1.0,,,4.705,40.469
28,2007-01-22,3 MuHarram 1428 A.H,Working Day,,10:30:00,North Waziristan,32.9746,70.1456,Fata,"Miltary convoy near Mir ali north
Wazirstan ",Mobile,High,open,Military convoy,Military,,4.0,5.0,23.0,25.0,1.0,,,2.325,36.185
29,2007-01-26,7 MuHarram 1428 A.H,Working Day,,14:37:00,Islamabad,33.718,73.0718,Capital,Islamabad Marriott Hotal,Hotel,Medium,closed,Indian High Commission Function,Foreigner,,1.0,2.0,5.0,7.0,1.0,,1.poly Clinic Hospital,16.3,61.34
30,2007-01-27,8 MuHarram 1428 A.H,Working Day,,20:40:00,Peshawar,34.0043,71.5448,KPK,near Mosque in QissaKhawani Bazaar,Religious,Medium,closed,Muharram procession about to start,Civilian,Shiite,13.0,15.0,30.0,60.0,1.0,,1.Lady Reading hospital,15.165,59.297
31,2007-01-29,10 MuHarram 1428 A.H,Holiday,Ashura,,D.I Khan,31.8238,70.9095,KPK,Checkpost Dera Ismial Khan,Police,High,open,Muharram procession,Civilian,Shiite,2.0,3.0,,7.0,1.0,,"1.DIK Headquarters 
Hospital ",17.745,63.941
32,2007-02-03,15 MuHarram 1428 A.H.,Working Day,,06:17:00,Lakki Marwat,32.6018,70.9148,KPK,"Ghazanikhel Market 
Laik marwat",Market,Low,open,,Civilian,,,1.0,,,1.0,,,17.52,63.536
33,2007-02-03,15 MuHarram 1428 A.H.,Working Day,,12:15:00,Tank,31.8238,70.9095,KPK,Military Convoy Barakhel area-tank,Mobile,High,open,Military convoy,Military,,,2.0,7.0,8.0,1.0,,1.CMH  Dera,19.935,67.883
34,2007-02-06,18 MuHarram 1428 A.H.,Working Day,,21:10:00,Islamabad,33.718,73.0718,Capital,Islamabad Airport,Airport,High,open,,Civilian,,,1.0,3.0,10.0,1.0,,,16.635,61.943
35,2007-02-17,29 MuHarram 1428 A.H,Working Day,,11:05:00,Quetta,30.2095,67.0182,Baluchistan,"Quetta District court senior civil
 judge District Court",Government,High,closed,,Civilian,,16.0,17.0,30.0,35.0,1.0,,"1.Quttea Civil hospital 
2.Bolan medical hospital ",8.72,47.696
36,2007-03-29,10 Raby` al-awal 1428 A.H,Working Day,,11:45:00,Gujrat,32.5737,74.0786,Punjab,"Army training area guliana 
near Kharian Contonment",Military,High,open,,Military,,1.0,2.0,6.0,8.0,1.0,,"1.Combined Military
 Hospital ",25.595,78.071
37,2007-04-28,11 Raby` al-THaany 1428 A.H.,Working Day,,18:55:00,Charsadda,34.1509,71.7359,KPK,"Federal Interior Minister Speech 
rallyy hometown Charsadda",Park/Ground,Low,open,Rally Charsadda,Government Official,,25.0,35.0,29.0,60.0,1.0,,"1.District Headquarters Hospital
 2.Lady Reading Hospital ",28.055,82.499
38,2007-05-15,28 Raby` al-THaany 1428 A.H,Working Day,,12:55:00,Peshawar,34.0043,71.5448,KPK,Peshawar Hotel,Hotel,Medium,closed,,Foreigner,Sunni,22.0,26.0,12.0,35.0,1.0,,1.Lady Reading Hospital,31.1,87.98
39,2007-05-28,11 Jumaada al-awal 1428 A.H,Working Day,,,Tank,32.226,70.3761,KPK,Boltonabad aera,Mobile,High,open,rammed the vehicle into FC vehicle,Military,,,3.0,,2.0,1.0,,,24.935,76.883
40,2007-07-04,19 Jumaada al-THaany 1428 A.H,Working Day,,10:25:00,North Waziristan,32.9746,70.1456,Fata,Miltary convoy in bannu Gurbaz area,Mobile,High,open,Military convoy,Military,,8.0,10.0,9.0,12.0,1.0,,1.CMH Peshawar,26.975,80.555
41,2007-07-12,27 Jumaada al-THaany 1428 A.H,Working Day,,,Swat,35.2227,72.4258,KPK,Security Force convoy in mingora,Mobile,High,open,Military convoy,Military,,6.0,7.0,4.0,8.0,1.0,,"1.Agency Headquarters 
hospital ",31.74,89.132
42,2007-07-12,27 Jumaada al-THaany 1428 A.H,Working Day,,16:30:00,North Waziristan,32.9746,70.1456,Fata,Political Agent Office in Miranshah,Government,High,closed,,Government Official,,2.0,4.0,,3.0,1.0,,,31.39,88.502
43,2007-07-14,29 Jumaada al-THaany 1428 A.H,Working Day,,14:00:00,North Waziristan,32.9746,70.1456,Fata,Razmak town’s Daznaray area-20kms to the north of Miramshah,Mobile,High,open,Frontier Constabulary convoy,Military,,23.0,24.0,26.0,29.0,1.0,,1.CMH Bannu hospital,26.02,78.836
44,2007-07-15,1 Rajab 1428 A.H,Holiday,Weekend,,D.I Khan,31.8238,70.9095,KPK,police recruitment center,Police,High,closed,recruitment process in progress,Police,,25.0,30.0,50.0,61.0,1.0,,"1.District Headquarters 
Hospital ",28.82,83.876
45,2007-07-15,1 Rajab 1428 A.H,Holiday,Weekend,,Swat,35.2227,72.4258,KPK,Matta,Mobile,High,open,police bus going from Kabal to Matta,Police,,17.0,20.0,40.0,47.0,1.0,,,27.255,81.059
46,2007-07-17,3 Rajab 1428 A.H,Working Day,,08:27:00,Islamabad,33.718,73.0718,Capital,outside the venue of distric bar convention council Islamabad,Government,High,open,Chief Justice Iftikhar muhammad ch had to address overthere,Government Official,,16.0,17.0,50.0,70.0,1.0,,1.Fedral govt services hospital 2.PIMS,28.875,83.975
47,2007-07-17,3 Rajab 1428 A.H,Working Day,,13:30:00,North Waziristan,32.9746,70.1456,Fata,"Security check post Miramshah 
North Wazirstan ",Military,High,open,,Military,,,4.0,2.0,3.0,1.0,,1.CMH Bannu hospital,26.945,80.501
48,2007-07-19,5 Rajab 1428 A.H,Working Day,,08:40:00,Lasbela,25.8377,66.5224,Baluchistan,Industrial town hub baluchistan,Mobile,High,open,chinese engineers were going from Karachi to Hub,Foreigner,Christian,28.0,30.0,28.0,50.0,1.0,,,32.395,90.311
49,2007-07-19,5 Rajab 1428 A.H,Working Day,,07:50:00,Hangu,33.5351,71.0713,KPK,Training Center in Hangu,Police,High,closed,,Police,,6.0,8.0,30.0,35.0,1.0,,,30.735,87.323
50,2007-07-19,5 Rajab 1428 A.H,Working Day,,,Kohat,33.5833,71.4333,KPK,Kohat Mosque,Religious,Medium,closed,,Religious,Sunni,15.0,20.0,8.0,58.0,1.0,,CMH kohat,30.275,86.495
51,2007-07-20,6 Rajab 1428 A.H,Working Day,,11:00:00,North Waziristan,32.9746,70.1456,Fata,"Security check post Miramshah 
North Wazirstan ",Military,High,open,,Military,,,4.0,5.0,6.0,1.0,,,28.375,83.075
52,2007-07-27,13 Rajab 1428 A.H,Working Day,,17:25:00,Islamabad,33.718,73.0718,Capital,near Hotel in Abpara market,Hotel,Medium,closed,,Police,,14.0,15.0,50.0,70.0,1.0,,"1.Federal Government
 services hospital
2.Capital Development 
Authority hospital ",26.39,79.502
53,2007-08-03,20 Rajab 1428 A.H.,Working Day,,,Swat,35.2227,72.4258,KPK,District Swat gora village matta,Mobile,Low,open,,Civilian,,,2.0,5.0,6.0,1.0,,,28.01,82.418
54,2007-08-04,21 Rajab 1428 A.H,Working Day,,10:30:00,Kuram Agency,32.9746,70.1456,Fata,Parachinar,Transport,Low,open,,Civilian,Sunni,9.0,23.0,35.0,43.0,1.0,,"1.Agency Headqurters 
Hospital ",25.835,78.503
55,2007-08-17,4 SHa`baan 1428 A.H,Working Day,,,Tank,32.226,70.3761,KPK,Military Convoys in Tank district,Mobile,High,open,,Military,,,,3.0,5.0,1.0,,,26.185,79.133
56,2007-08-19,6 SHa`baan 1428 A.H,Holiday,Weekend,,North Waziristan,32.9746,70.1456,Fata,"North Wazirstan Mirali Military
 checkpost ",Military,High,open,,Military,,,2.0,,2.0,1.0,,,29.01,84.218
57,2007-08-19,6 SHa`baan 1428 A.H,Holiday,Weekend,,Bannu,32.9861,70.6042,KPK,Bannu Police Check post,Police,High,open,,Police,,,1.0,,4.0,1.0,,,29.965,85.937
58,2007-08-20,7 SHa`baan 1428 A.H,Working Day,,09:00:00,Hangu,33.5351,71.0713,KPK,"Checkpost on thall-parachinar road/kurram road
 mandori village ",Military,High,open,,Military,,3.0,7.0,14.0,18.0,1.0,,1.Nawagai hospital,27.195,80.951
59,2007-08-24,11 SHa`baan 1428 A.H,Working Day,,,North Waziristan,32.9746,70.1456,Fata,miranshah Military convoys,Mobile,High,open,military convoy,Military,,6.0,7.0,22.0,37.0,2.0,,1.Bannu Hospital,28.365,83.057
60,2007-08-26,13 SHa`baan 1428 A.H,Holiday,Weekend,,Shangla,34.8015,72.757,KPK,Machaar area of Shangla District,Police,High,open,,Police,,,4.0,,2.0,1.0,,,27.475,81.455
61,2007-09-01,19 SHa`baan 1428 A.H,Working Day,,10:00:00,Bajaur Agency,34.8718,71.5249,Fata,Truck carrying security personeel was attacked in Mamond area,Mobile,High,open,truck carrying security personnel,Military,,3.0,7.0,4.0,9.0,1.0,,"1.Agency Headquarters 
hospital ",28.84,83.912
62,2007-09-01,19 SHa`baan 1428 A.H,Working Day,,,South Waziristan,32.3202,69.8597,Fata,check-post of the troops in the Jandola area of South Waziristan.,Military,High,closed,,Military,,,0.0,,,1.0,,,29.58,85.244
63,2007-09-04,22 SHa`baan 1428 A.H,Working Day,,07:15:00,Rawalpindi,33.6058,73.0437,Punjab,1.Qasim Market Defence Ministry Bus,Mobile,High,open,,Military,,18.0,25.0,,,2.0,,"1.District Headquarters Rwp
2.Rwp General Hospital",27.15,80.87
64,2007-09-04,22 SHa`baan 1428 A.H,Working Day,,07:15:00,Rawalpindi,33.6058,73.0437,Punjab,Near R.A Bazar behind general Headquarters,Market,Low,open,,Military,,,7.0,,,1.0,,"1.District Headquarters Rwp
2.Rwp General Hospital",27.15,80.87
65,2007-09-11,29 SHa`baan 1428 A.H,Working Day,,,D.I Khan,31.8238,70.9095,KPK,Passanger van at Bannu adda/chungi,Mobile,Low,open,,Civilian,,17.0,19.0,16.0,19.0,1.0,,"DI Khan Headquarter
 hospital ",30.815,87.467
66,2007-09-13,1 RamaDHaan 1428 A.H,Working Day,,19:15:00,Haripur,34.0011,72.9372,KPK,army officers mess in Tarbela ghazi,Military,High,closed,military convoy,Military,,15.0,20.0,11.0,46.0,1.0,,"1.Wapda Hospital    2.CMH Pindi 
3.CMH Attock ",26.975,80.555
67,2007-09-22,10 RamaDHaan 1428 A.H,Working Day,,02:00:00,Tank,32.226,70.3761,KPK,military convoy going from Tank,Mobile,High,open,,Military,,,5.0,3.0,10.0,1.0,,,24.705,76.469
68,2007-10-01,19 RamaDHaan 1428 A.H,Working Day,,08:30:00,bannu,32.9861,70.6042,KPK,checkpost near Dawa bridge/Durani Abshar Chowk,Police,High,open,,Police,,,16.0,29.0,32.0,1.0,,"1.District Headquartar 
Hospital ",24.57,76.226
69,2007-10-18,6 SHawwal 1428 A.H,Working Day,,,karachi,24.9918,66.9911,Sindh,"Benazir Survives midnight 
carnage Karsaz bridge Sharea Faisal",Mobile,High,open,Rally ppp,Government Official,,125.0,145.0,100.0,550.0,2.0,,"1.Jinnah Hospital 
2.Liaquat hospital ",28.025,82.445
70,2007-10-25,13 SHawwal 1428 A.H,Working Day,,14:45:00,Swat,35.2227,72.4258,KPK,Mingora Police Line,Mobile,High,open,,Military,,20.0,38.0,28.0,35.0,1.0,,1.Saidu Shrif hospital,21.025,69.845
71,2007-10-30,18 SHawwal 1428 A.H,Working Day,,11:50:00,Rawalpindi,33.6058,73.0437,Punjab,"Rawalpindi police checkpoint 
security zone",Police,High,open,,Military,,7.0,8.0,18.0,31.0,1.0,,1.CMH 2.Civil hospital,20.905,69.629
72,2007-11-01,20 SHawwal 1428 A.H,Working Day,,07:10:00,Sargodha,32.0791,72.6718,Punjab,PAF Bus on faisalabad road-Sargodha,Mobile,High,open,PAF Bus,Military,,8.0,10.0,27.0,40.0,1.0,10.0,"1.PAF Sargodha 
2.CMH Rwp",20.82,69.476
73,2007-11-09,28 SHawwal 1428 A.H,Holiday,Iqbal Day,16:15:00,Peshawar,34.0043,71.5448,KPK,"Peshawar  Federal minister 
political amir muqam house",Commercial/residence,Low,closed,Political Affairs meeting,Government Official,,3.0,4.0,2.0,5.0,1.0,6.0,1.Hayatabad Medical Complex,19.445,67.001
74,2007-11-24,14 Thw al-Qi`dah 1428 A.H,Working Day,,07:40:00,Rawalpindi,33.6058,73.0437,Punjab,Bus carrying ISI officals parked outside Hamza Camp faizabad,Mobile,High,open,Hamza camp,Military,,17.0,38.0,,35.0,1.0,,"1.Military Hospital 
2.Rawalpindi hospital ",15.555,59.999
75,2007-11-24,14 Thw al-Qi`dah 1428 A.H,Working Day,,07:50:00,Rawalpindi,33.6058,73.0437,Punjab,GHQ,Military,High,open,,Military,,,1.0,2.0,5.0,1.0,,,15.555,59.999
76,2007-12-04,24 Thw al-Qi`dah 1428 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,Checkpost high-security cantonment area babar road,Military,High,open,,Military,,,1.0,,0.0,1.0,,,14.73,58.514
77,2007-12-09,29 Thw al-Qi`dah 1428 A.H,Holiday,Weekend,12:30:00,Swat,35.2227,72.4258,KPK,Ningolai Security checkpost,Police,High,open,,Police,,10.0,13.0,,2.0,1.0,15.0,,11.925,53.465
78,2007-12-10,30 Thw al-Qi`dah 1428 A.H,Working Day,,07:30:00,Attock,33.7645,72.3667,Punjab,Truck carrying school children near Fauji gate Pakistan Aeranautical Complex,Mobile,Low,open,,Children/Women,,,0.0,7.0,22.0,1.0,,1.CMH Rwp,12.13,53.834
79,2007-12-13,3 Thw al-Hijjah 1428 A.H,Working Day,,16:50:00,Quetta,30.2095,67.0182,Baluchistan,military Checkpost,Military,High,open,,Military,,5.0,12.0,22.0,23.0,2.0,,1.CMH hospital,4.16,39.488
80,2007-12-15,5 Thw al-Hijjah 1428 A.H,Working Day,,09:25:00,Nowshehra,34.0322,73.0944,KPK,Noshera security check post,Military,High,open,,Military,,5.0,6.0,11.0,20.0,1.0,,1.CMH Nowshera,9.515,49.127
81,2007-12-17,7 Thw al-Hijjah 1428 A.H,Working Day,,12:30:00,Kohat,33.5833,71.4333,KPK,kohat cantt-fountain round about-near army public school,Military,High,open,recruits returning to barracks after morning exercise,Military,,,12.0,2.0,5.0,1.0,5.0,Combine Military hospital,11.345,52.421
82,2007-12-21,13 Thw al-Hijjah 1428 A.H,Holiday,Eid-ul-azha,,Charsadda,34.1509,71.7359,KPK,Charsadda Jamiya Masjid,Religious,Medium,closed,Masjid,Civilian,Sunni,,60.0,,200.0,1.0,6.0,,15.0,59.0
83,2007-12-23,13 Thw al-Hijjah 1428 A.H,Holiday,Weekend,18:00:00,Swat,35.2227,72.4258,KPK,military convoy hit in mingora,Mobile,High,open,,Military,,9.0,14.0,,23.0,1.0,,,12.76,54.968
84,2007-12-27,17 Thw al-Hijjah 1428 A.H,Working Day,,17:10:00,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi Liaquat Bagh Park,Park/Ground,Low,open,attack on Benazir Bhutto,Government Official,,21.0,30.0,48.0,70.0,1.0,,Rawalpindi General hospital,10.21,50.378
85,2008-01-07,28 Thw al-Hijjah 1428 A.H,Working Day,,11:15:00,Swat,35.2227,72.4258,KPK,infront of frontier house kabal,Military,High,open,Security forces,Military,,,,12.0,13.0,1.0,,,6.77,44.186
86,2008-01-10,1 MuHarram 1429 A.H,Working Day,,11:40:00,Lahore,31.5451,74.3407,Punjab,Lahore High court,Government,High,open,lawyers protest rally was about to start. All of them were present inside the court. Bomber targeted the police officials outside the court,Police,,24.0,26.0,73.0,80.0,1.0,15.0,1.Mayo-Ganga ram hospital,13.89,57.002
87,2008-01-15,6 MuHarram 1429 A.H,Working Day,,10:30:00,Mohmand Agency,32.9746,70.1456,Fata,checkpoint of security forces in Khapakh Kando near Ghalanai,Military,High,open,Frontier Constabulary,Military,,1.0,1.0,,,1.0,,Ghalani hospital,5.145,41.261
88,2008-01-17,8 MuHarram 1429 A.H,Working Day,,18:55:00,Peshawar,34.0043,71.5448,KPK,Mirza Qasim baig Imambargah Jangi Mohallah-kohati,Religious,Medium,closed,Imambargah,Religious,Shiite,10.0,12.0,,25.0,1.0,33.0,1.Lady Reading hospital,12.34,54.212
89,2008-02-01,23 MuHarram 1429 A.H,Working Day,,16:30:00,North Waziristan,32.9746,70.1456,Fata,Kajhori checkpost north waziristan,Police,High,open,Checkpost,Police,,5.0,7.0,13.0,15.0,1.0,,1.CMH bannu 2.MH Bannu,2.475,36.455
90,2008-02-04,26 MuHarram 1429 A.H.,Working Day,,07:30:00,Rawalpindi,33.6058,73.0437,Punjab,Infront of NLC office near GHQ Rwp,Mobile,High,open,bus carrying students and officials of army medical college-,Military,,8.0,10.0,27.0,47.0,1.0,7.0,1.CMH 2.MH 3. DHQ,8.42,47.156
91,2008-02-05,27 MuHarram 1429 A.H,Working Day,,,Quetta,30.2095,67.0182,Baluchistan,Quetta Khilji Conlony,Park/Ground,Low,open,Khilji colony,Civilian,,,1.0,,1.0,1.0,,,-2.37,27.734
92,2008-02-09,2 safar 1429 A.H.,Working Day,,,Charsadda,34.1509,71.7359,KPK,Nakai in charsadda,Commercial/residence,Low,closed,Awami National Party meeting was in progress,Government Official,,25.0,27.0,35.0,51.0,1.0,,1.Lady Reading Hospital 2. DHQ charsadda,7.935,46.283
93,2008-02-11,4 safar 1429 A.H,Working Day,,12:55:00,North Waziristan,32.9746,70.1456,Fata,Aidak village in mirali-near miranshah,Religious,Low,open,ANP gathring,Government Official,,6.0,10.0,9.0,13.0,1.0,,,2.245,36.041
94,2008-02-16,9 safar 1429 A.H.,Working Day,,,Swat,35.2227,72.4258,KPK,Mingora-army media center on saidu sharif road,Military,High,closed,army media center and base near Gul Kadda,Military,,2.0,3.0,14.0,18.0,1.0,,District headquarters hospital saidu sharif,12.725,54.905
95,2008-02-16,9 safar 1429 A.H.,Working Day,,,Kuram Agency,35.2227,72.4258,Fata,PPP election office in Eidgah market of Parachinar bazar,Government,High,closed,,Government Official,,38.0,47.0,109.0,110.0,1.0,,Agency headquarter hospital,12.725,54.905
96,2008-02-25,18 safar 1429 A.H,Working Day,,14:45:00,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi-R.A bazar mall road Sadar-nadira suift center,Mobile,High,closed,near Surgeon-gernal car on signal,Military,,,8.0,20.0,30.0,1.0,5.0,1.CMH 2.MH 3.Contonment hospital 4. rwp general hospital 5. DHQ hospital,14.47,58.046
97,2008-02-29,22 safar 1429 A.H.,Working Day,,20:00:00,Swat,32.935,70.6688,KPK,Swat Mingora DSP Funeral,Park/Ground,Low,open,,Police,,38.0,45.0,40.0,100.0,1.0,,1.Saidu Shrif hospital,19.85,67.73
98,2008-03-01,23 safar 1429 A.H.,Working Day,,,Bajaur Agency,34.8718,71.5249,Fata,Khar-jardar area,Mobile,High,open,,Military,,,2.0,,23.0,1.0,,,19.375,66.875
99,2008-03-02,24 safar 1429 A.H.,Holiday,Weekend,11:00:00,Dara Adam Khel,33.6854,71.5131,KPK,Dara adamkhel Jirga,Park/Ground,Low,open,peace Jirga,Anti-Militants,,40.0,43.0,50.0,60.0,1.0,,1.Lady Reading Hospital 2.Hayatabad medical Complex,19.455,67.019
100,2008-03-04,26 safar 1429 A.H,Working Day,,13:05:00,Lahore,31.5451,74.3407,Punjab,Navy war college mall road lahore,Military,High,closed,Navy college,Military,,4.0,8.0,15.0,24.0,2.0,,1.CMH 2.Service hospital,20.655,69.179
101,2008-03-11,3 Raby` al-awal 1429 A.H,Working Day,,,Lahore,31.5451,74.3407,Punjab,FIA building Temple road near The Mall-near regal chowk,Government,High,closed,,Government Official,,26.0,31.0,175.0,200.0,1.0,50.0,1.Ganga Ram Hospita 2.Mayo Hospital,21.295,70.331
